team.id,jerseyNumber,id,fullName,link,position.code,position.name,position.type
12,88,8480039,Martin Necas,/api/v1/people/8480039,C,Center,Forward
12,82,8480829,Jesperi Kotkaniemi,/api/v1/people/8480829,C,Center,Forward
12,37,8480830,Andrei Svechnikov,/api/v1/people/8480830,R,Right Wing,Forward
12,52,8481611,Pyotr Kochetkov,/api/v1/people/8481611,G,Goalie,Goalie
12,24,8482093,Seth Jarvis,/api/v1/people/8482093,C,Center,Forward
13,70,8471887,Patric Hornqvist,/api/v1/people/8471887,R,Right Wing,Forward
13,30,8481519,Spencer Knight,/api/v1/people/8481519,G,Goalie,Goalie
13,12,8470595,Eric Staal,/api/v1/people/8470595,C,Center,Forward
13,18,8471686,Marc Staal,/api/v1/people/8471686,D,Defenseman,Defenseman
13,22,8474610,Zac Dalpe,/api/v1/people/8474610,C,Center,Forward
13,7,8475462,Radko Gudas,/api/v1/people/8475462,D,Defenseman,Defenseman
13,72,8475683,Sergei Bobrovsky,/api/v1/people/8475683,G,Goalie,Goalie
13,21,8476393,Nick Cousins,/api/v1/people/8476393,C,Center,Forward
13,71,8476919,Chris Tierney,/api/v1/people/8476919,C,Center,Forward
13,23,8477409,Carter Verhaeghe,/api/v1/people/8477409,C,Center,Forward
13,16,8477493,Aleksander Barkov,/api/v1/people/8477493,C,Center,Forward
13,5,8477932,Aaron Ekblad,/api/v1/people/8477932,D,Defenseman,Defenseman
13,13,8477933,Sam Reinhart,/api/v1/people/8477933,C,Center,Forward
13,9,8477935,Sam Bennett,/api/v1/people/8477935,C,Center,Forward
13,62,8477986,Brandon Montour,/api/v1/people/8477986,D,Defenseman,Defenseman
13,42,8478055,Gustav Forsling,/api/v1/people/8478055,D,Defenseman,Defenseman
13,6,8478400,Colin White,/api/v1/people/8478400,C,Center,Forward
13,94,8479066,Ryan Lomberg,/api/v1/people/8479066,L,Left Wing,Forward
13,34,8479312,Alex Lyon,/api/v1/people/8479312,G,Goalie,Goalie
13,19,8479314,Matthew Tkachuk,/api/v1/people/8479314,L,Left Wing,Forward
13,28,8479372,Josh Mahura,/api/v1/people/8479372,D,Defenseman,Defenseman
13,54,8479379,Givani Smith,/api/v1/people/8479379,R,Right Wing,Forward
13,4,8479578,Casey Fitzgerald,/api/v1/people/8479578,D,Defenseman,Defenseman
13,27,8480185,Eetu Luostarinen,/api/v1/people/8480185,C,Center,Forward
13,15,8482113,Anton Lundell,/api/v1/people/8482113,C,Center,Forward
14,22,8478870,Rudolfs Balcers,/api/v1/people/8478870,L,Left Wing,Forward
